source_id,company_name,company_id,FILING_DATE,RECORD_NUM,STATUS,STANDING,ALERT,CAN_REINSTATE,CAN_FILE_AR,CAN_ALWAYS_FILE_AR,CAN_FILE_REINSTATEMENT
83,XCEL ENERGY INC.,83,08/18/1910,0000000120,Active,Good Standing,False,False,False,False,False
64528,XCEL ENERGY SERVICES INC.,64528,04/18/2001,0000064741,Active,Good Standing,False,False,False,False,False
1940,"XCEL ERECTORS, INC.",1940,11/14/1985,0000002063,Active,Good Standing,False,False,False,False,False
330716,Xcel Holdings,330716,02/28/2022,0005807728,Active,Good Standing,False,False,False,False,False
333311,Xcel Holdings LLC,333311,04/05/2022,0005852383,Active,Good Standing,False,False,True,True,False
171445,XCEL NDT LLC,171445,09/04/2018,0000171823,Active,Good Standing,False,False,True,True,False
111653,XCEL TRUCKING LLC,111653,11/09/2011,0000112023,Active,Good Standing,False,False,False,False,False
358513,Xcelerate Indoor Adventures,358513,05/04/2023,0006271482,Active,Good Standing,False,False,False,False,False
358512,Xcelerate Indoor Adventures LLC,358512,05/04/2023,0006271478,Active,Good Standing,False,False,True,True,False
180654,XCELL DRIVING SCHOOL LLP,180654,08/27/2003,0000181034,Active,Good Standing,False,False,False,False,False
108164,"XCHANGE BENEFITS, LLC",108164,07/18/2011,0000108533,Active,Good Standing,False,False,False,False,False
339752,XCHANGE TELECOM LLC,339752,07/01/2022,0005927138,Active,Good Standing,False,False,False,False,False
305451,"XCLOUD, LLC",305451,11/20/2020,0005338314,Active,Good Standing,False,False,False,False,False
338193,XCMG America Financial LLC,338193,06/23/2022,0005922092,Active,Good Standing,False,False,True,True,False
354792,"XConnect Texas, LLC",354792,03/21/2023,0006215915,Active,Good Standing,False,False,False,False,False
141236,"XConnect, LLC",141236,10/27/2014,0000141609,Active,Good Standing,False,False,False,False,False
344030,XCS Pros,344030,09/16/2022,0006028885,Active,Good Standing,False,False,False,False,False
344027,"XCS Pros, LLC",344027,09/16/2022,0006028866,Active,Good Standing,False,False,True,True,False
335425,xDatak LLC,335425,05/12/2022,0005876954,Active,Good Standing,False,False,False,False,False
314011,XDP Digital LLC,314011,04/22/2021,0005499495,Active,Good Standing,False,False,True,True,False
274036,Xe USA,274036,01/24/2019,0002695525,Active,Good Standing,False,False,False,False,False
362695,"XEC, Inc.",362695,07/14/2023,0006336472,Active,Good Standing,False,False,False,False,False
313973,XeCare LLC,313973,04/22/2021,0005499136,Active,Good Standing,False,False,False,False,False
282675,"Xencom Energy Management, LLC",282675,07/31/2019,0002859472,Active,Good Standing,False,False,True,True,False
135134,Xenex Disinfection Services Inc.,135134,03/20/2014,0000135506,Active,Good Standing,False,False,False,False,False
380781,Xenith Development Group,380781,05/29/2024,0006685910,Active,Good Standing,False,False,False,False,False
154726,"XENITH, LLC",154726,06/27/2016,0000155100,Active,Good Standing,False,False,True,True,False
360667,"Xeratex Group, LLC",360667,06/09/2023,0006311361,Active,Good Standing,False,False,False,False,False
148120,XERCOR INSURANCE SERVICES LLC,148120,08/17/2015,0000148493,Active,Good Standing,False,False,False,False,False
387248,Xeric Holdings LLC,387248,10/02/2024,0006828480,Active,Good Standing,False,False,False,False,False
275237,"Xeris Pharmaceuticals, Inc.",275237,02/14/2019,0002705646,Active,Good Standing,False,False,False,False,False
382036,Xero LLC,382036,06/20/2024,0006714143,Active,Good Standing,False,False,False,False,False
17447,XEROX CORPORATION,17447,05/05/1964,0000017597,Active,Good Standing,False,False,False,False,False
73374,XEROX FINANCIAL SERVICES LLC,73374,02/04/2003,0000073595,Active,Good Standing,False,False,False,False,False
62403,"XETA TECHNOLOGIES, INC.",62403,04/06/2000,0000062616,Active,Good Standing,False,False,False,False,False
348941,Xfinity Home,348941,11/30/2022,0006092932,Active,Good Standing,False,False,False,False,False
353992,"XFIT Holdings, Inc.",353992,03/02/2023,0006204817,Active,Good Standing,False,False,False,False,False
100168,"X-GEN PHARMACEUTICALS, INC.",100168,06/19/2010,0000100537,Active,Not Good Standing,False,False,True,True,False
117057,"XGP PROPERTIES, LLC",117057,05/21/2012,0000117427,Active,Good Standing,False,False,True,True,False
14868,"XH, LLC",14868,05/04/1983,0000015018,Active,Good Standing,False,False,False,False,False
74042,"XIE XIE, LLC",74042,03/28/2003,0000074263,Active,Good Standing,False,False,True,True,False
348851,"Xigent Solutions, LLC",348851,11/29/2022,0006091585,Active,Good Standing,False,False,False,False,False
337322,"XILAJU, LLC",337322,06/09/2022,0005914329,Active,Good Standing,False,False,False,False,False
136423,"XIPHOS TECHNICAL SERVICES, LLC",136423,05/12/2014,0000136795,Active,Good Standing,False,False,False,False,False
293283,XL Farms,293283,03/04/2020,0003069778,Active,Good Standing,False,False,False,False,False
47640,"XL HOMES, CORP.",47640,05/24/1996,0000047848,Active,Good Standing,False,False,False,False,False
136264,"XL INDUSTRIAL SERVICES, INC.",136264,05/06/2014,0000136636,Active,Good Standing,False,False,False,False,False
290974,XL LOGISTICS LLC,290974,01/13/2020,0003016450,Active,Good Standing,False,False,False,False,False
123072,"XL TRANSPORT, LLC",123072,12/04/2012,0000123442,Active,Good Standing,False,False,False,False,False
294747,"XLHome, P.C. (dba Home Health Assessments of North Dakota, P.C.)",294747,04/07/2020,0003118500,Active,Good Standing,False,False,False,False,False
280171,"XLT Management Services, Inc.",280171,05/29/2019,0002813336,Active,Not Good Standing,False,False,True,True,False
347215,XLT Pack and Ship,347215,10/25/2022,0006063334,Active,Good Standing,False,False,False,False,False
356424,xlt taxi,356424,04/14/2023,0006249515,Active,Good Standing,False,False,False,False,False
316181,"XM ACRES, LLP",316181,05/28/2021,0005525442,Active,Good Standing,False,False,False,False,False
343629,XM42,343629,09/08/2022,0006023021,Active,Good Standing,False,False,False,False,False
279692,xmodn security LLC,279692,05/15/2019,0002794925,Active,Good Standing,False,False,True,True,False
85802,XN FINANCIAL SERVICES INC.,85802,02/06/2007,0000086167,Active,Good Standing,False,False,False,False,False
270408,XO BEAUTY,270408,02/06/2018,0000270788,Active,Good Standing,False,False,False,False,False
66466,"XO COMMUNICATIONS SERVICES, LLC",66466,08/13/2004,0000066683,Active,Good Standing,False,False,False,False,False
356840,Xolaria LLC,356840,04/12/2023,0006253787,Active,Good Standing,False,False,True,True,False
116177,XOME FIELD SERVICES LLC,116177,06/25/2014,0000116547,Active,Good Standing,False,False,False,False,False
125299,XOME INC.,125299,03/05/2013,0000125669,Active,Good Standing,False,False,False,False,False
123678,XOME REALTY SERVICES LLC,123678,01/11/2013,0000124048,Active,Good Standing,False,False,False,False,False
323422,"XOXO, PHOENIIX LLC",323422,10/13/2021,0005664534,Active,Good Standing,False,False,True,True,False
49020,XP SYSTEMS CORPORATION,49020,01/20/1999,0000049228,Active,Good Standing,False,False,False,False,False
387490,Xpedition Well Service LLC,387490,10/08/2024,0006832697,Active,Good Standing,False,False,False,False,False
376114,"XPEL, INC.",376114,03/12/2024,0006615596,Active,Good Standing,False,False,False,False,False
309601,Xperience Barbers,309601,02/09/2021,0005432375,Active,Good Standing,False,False,False,False,False
231746,XPERIENCE HEALTH & FITNESS,231746,07/24/2006,0000232126,Active,Good Standing,False,False,False,False,False
86448,XPERIENCE HEALTH & FITNESS LLC,86448,04/17/2007,0000086814,Active,Good Standing,False,False,False,False,False
352546,Xperience Investments LLC,352546,02/06/2023,0006184608,Active,Good Standing,False,False,True,True,False
304915,"Xperience Title, LLC",304915,11/06/2020,0005328786,Active,Good Standing,False,False,False,False,False
386669,Xpert Concrete Coatings LLC,386669,09/20/2024,0006817200,Active,Good Standing,False,False,False,False,False
282517,Xpert Drywall llc,282517,08/08/2019,0002857167,Active,Good Standing,False,False,False,False,False
154896,XPERT ENTERPRISES LLC,154896,07/01/2016,0000155270,Active,Good Standing,False,False,False,False,False
373175,Xpert Home Lending Inc.,373175,01/25/2024,0006569153,Active,Good Standing,False,False,False,False,False
291576,"Xpert Xteriors, LLC",291576,01/28/2020,0003036205,Active,Good Standing,False,False,False,False,False
45656,"XPO Logistics Freight, Inc.",45656,07/21/1995,0000045863,Active,Good Standing,False,False,False,False,False
169931,XPON INTERNATIONAL LLC,169931,07/02/2018,0000170309,Active,Good Standing,False,False,True,True,False
